Date,Volume,Sentiment,y
2010-12-06,122240000,0,11362.19043
2010-12-07,175720000,0,11359.160156
2010-12-08,152510000,1,11372.480469
2010-12-09,167970000,0,11370.05957
2010-12-10,151820000,1,11410.320312
2010-12-13,151190000,1,11428.55957
2010-12-14,149860000,1,11476.540039
2010-12-15,189670000,0,11457.469727
2010-12-16,163040000,1,11499.25
2010-12-17,358300000,0,11491.910156
2010-12-20,125360000,0,11478.129883
2010-12-21,119420000,1,11533.160156
2010-12-22,122040000,1,11559.490234
2010-12-23,100840000,1,11573.490234
2010-12-27,76820000,0,11555.030273
2010-12-28,114100000,1,11575.540039
2010-12-29,77800000,1,11585.379883
2010-12-30,76820000,0,11569.709961
2010-12-31,93330000,1,11577.509766
2011-01-03,203420000,1,11670.75
2011-01-04,178630000,1,11691.179688
2011-01-05,169990000,1,11722.889648
2011-01-06,193080000,0,11697.30957
2011-01-07,188720000,0,11674.759766
2011-01-10,150340000,0,11637.450195
2011-01-11,157440000,1,11671.879883
2011-01-12,144960000,1,11755.44043
2011-01-13,161660000,0,11731.900391
2011-01-14,200770000,1,11787.379883
2011-01-18,203390000,1,11837.929688
2011-01-19,166250000,0,11825.290039
2011-01-20,180800000,0,11822.799805
2011-01-21,249480000,1,11871.839844
2011-01-24,184000000,1,11980.519531
2011-01-25,191950000,0,11977.19043
2011-01-26,168320000,1,11985.44043
2011-01-27,167770000,1,11989.830078
2011-01-28,214170000,0,11823.700195
2011-01-31,206580000,1,11891.929688
2011-02-01,180890000,1,12040.160156
2011-02-02,143440000,1,12041.969727
2011-02-03,143710000,1,12062.259766
2011-02-04,121780000,1,12092.150391
2011-02-07,132960000,1,12161.629883
2011-02-08,126650000,1,12233.150391
2011-02-09,162910000,1,12239.889648
2011-02-10,274440000,0,12229.290039
2011-02-11,184290000,1,12273.259766
2011-02-14,146350000,0,12268.19043
2011-02-15,142580000,0,12226.639648
2011-02-16,146270000,1,12288.169922
2011-02-17,130860000,1,12318.139648
2011-02-18,230040000,1,12391.25
2011-02-22,201860000,0,12212.790039
2011-02-23,213490000,0,12105.780273
2011-02-24,190860000,0,12068.5
2011-02-25,147540000,1,12130.450195
2011-02-28,199560000,1,12226.339844
2011-03-01,183240000,0,12058.019531
2011-03-02,147270000,1,12066.799805
2011-03-03,157840000,1,12258.200195
2011-03-04,166700000,0,12169.879883
2011-03-07,176200000,0,12090.030273
2011-03-08,158610000,1,12214.379883
2011-03-09,128360000,0,12213.089844
2011-03-10,180660000,0,11984.610352
2011-03-11,143670000,1,12044.400391
2011-03-14,163000000,0,11993.160156
2011-03-15,221930000,0,11855.419922
2011-03-16,254070000,0,11613.299805
2011-03-17,182260000,1,11774.589844
2011-03-18,355050000,1,11858.519531
2011-03-21,143390000,1,12036.530273
2011-03-22,115660000,0,12018.629883
2011-03-23,133940000,1,12086.019531
2011-03-24,131610000,1,12170.55957
2011-03-25,129790000,1,12220.589844
2011-03-28,123070000,0,12197.879883
2011-03-29,129030000,1,12279.009766
2011-03-30,140340000,1,12350.610352
2011-03-31,186140000,0,12319.730469
2011-04-01,147600000,1,12376.719727
2011-04-04,114660000,1,12400.030273
2011-04-05,142340000,0,12393.900391
2011-04-06,182350000,1,12426.75
2011-04-07,158590000,0,12409.490234
2011-04-08,122820000,0,12380.049805
2011-04-11,109950000,1,12381.110352
2011-04-12,137260000,0,12263.580078
2011-04-13,118950000,1,12270.990234
2011-04-14,140670000,1,12285.150391
2011-04-15,234710000,1,12341.830078
2011-04-18,190220000,0,12201.589844
2011-04-19,149870000,1,12266.75
2011-04-20,203900000,1,12453.540039
2011-04-21,166630000,1,12505.990234
2011-04-25,128660000,0,12479.879883
2011-04-26,183980000,1,12595.370117
2011-04-27,160550000,1,12690.959961
2011-04-28,148760000,1,12763.30957
2011-04-29,378620000,1,12810.540039
2011-05-02,150960000,0,12807.360352
2011-05-03,191510000,1,12807.509766
2011-05-04,193720000,0,12723.580078
2011-05-05,176950000,0,12584.169922
2011-05-06,168320000,1,12638.740234
2011-05-09,133940000,1,12684.679688
2011-05-10,156000000,1,12760.360352
2011-05-11,200680000,0,12630.030273
2011-05-12,216510000,1,12695.919922
2011-05-13,169940000,0,12595.75
2011-05-16,192310000,0,12548.370117
2011-05-17,192830000,0,12479.580078
2011-05-18,175120000,1,12560.179688
2011-05-19,158470000,1,12605.320312
2011-05-20,174980000,0,12512.040039
2011-05-23,150720000,0,12381.259766
2011-05-24,145920000,0,12356.209961
2011-05-25,145750000,1,12394.660156
2011-05-26,149070000,1,12402.759766
2011-05-27,126030000,1,12441.580078
